key;frontText;frontDetails;backText;backDetails;category
jäger-hunter;der Jäger;die Jäger;hunter;;noun
wald-forest;der Wald;die Wälder;forest;;noun
kollabieren-to-collapse;kollabieren;kollabierte / kollabiert;to collapse;;verb
atmen-to-breathe;atmen;atmete / geatmet;to breathe;;noun
blick-look;der Blick;die Blicke;look, gaze;;noun
starr-rigid;starr;;rigid, fixed;;adjective
greifen-to-grab;greifen;griff / gegriffen;to grab, to reach for;;verb
notarzt-emergency-doctor;der Notarzt;die Notärzte;emergency doctor;;noun
tot-dead;tot;;dead;;adjective
antworten-to-answer;antworten;antwortete / geantwortet;to reply, to answer;;verb
sich-beruhigen-to-calm-down;sich beruhigen;beruhigte / beruhigt;to calm down;;verb
helfen-to-help;helfen;half / geholfen;to help;;verb
sich-vergewissern-to-make-sure;sich vergewissern;vergewisserte / vergewissert;to make sure;;verb
zuerst-first;zuerst;;first, at first;;adverb
wirklich-really;wirklich;;really, truly;;adverb
stille-silence;die Stille;;silence;;noun
ende-end;das Ende;die Enden;end;;noun
hören-to-hear;hören;hörte / gehört;to hear;;verb
schuss-shot;der Schuss;die Schüsse;shot, gunshot;;noun
