key;frontText;frontDetails;backText;backDetails;category
abenteuer;das Abenteuer;die Abenteuer;adventure;;noun
antworten-to-answer;antworten;antwortete / geantwortet;to reply, to answer;;verb
ausstrecken-to-stretch-out;ausstrecken;streckte aus / ausgestreckt;to stretch out, to extend, to reach out;;verb
behalten-to-keep;behalten;behielt / behalten;to keep, to retain;;verb
bekanntlich;bekanntlich;;as is well known;;adverb
bekloppt-crazy;bekloppt;;crazy, nuts;;adjective
damit-so-that;damit;;so that, in order to;;adverb
daneben;daneben;;next to it, beside it;;adverb
durch-through;durch;;through, along;;preposition
egal;egal;;indifferent, not important, doesn’t matter;;adjective
eier-haben-to-have-balls;Eier haben;;"literally ""to have eggs""";"idiomatically ""to have courage/guts/balls""";expression
eigentlich-actually;eigentlich;;actually, in fact;;adverb
einpacken-to-pack;einpacken;packte ein / eingepackt;"to pack, to wrap up";;verb
elefant-elephant;der Elefant;die Elefanten;the elephant;;noun
erzählen;erzählen;erzählte / erzählt;to tell, to narrate;;verb
essen-food;das Essen;;food, meal;;noun
fachgebiet-subject-area;das Fachgebiet;die Fachgebiete;subject area, field of expertise;;noun
flugzeug-airplane;das Flugzeug;die Flugzeuge;airplane;;noun
frage-question;die Frage;die Fragen;question;;noun
frisör-hairdresser;der Frisör;die Frisöre;hairdresser;;noun
frühstück-breakfast;das Frühstück;die Frühstücke;"breakfast";;noun
gelingen;gelingen;gelang / gelungen;to succeed, to turn out well;;verb
haarschneiden-haircut;das Haarschneiden;;haircut;;noun
henkel-handle;der Henkel;die Henkel;handle;;noun
in-die-hände-klatschen-to-clap-ones-hands;in die Hände klatschen;klatschte / geklatscht;to clap one's hands;;expression
krankenschwester-nurse;die Krankenschwester;die Krankenschwestern;nurse;;noun
kriegen-to-get;kriegen;kriegte / gekriegt;to get, to receive;;verb
kurz-short;kurz;;short;;adjective
langsam-slowly;langsam;;"slowly, gradually";;adverb
lebkuchenhaus;das Lebkuchenhaus;die Lebkuchenhäuser;gingerbread house;;noun
liebhaber-lover;der Liebhaber;die Liebhaber;lover;;noun
löwe;der Löwe;die Löwen;lion;;noun
mann-man;der Mann;die Männer;man / men;;noun
masche-mesh;die Masche;die Maschen;mesh, loop;;noun
mund-mouth;der Mund;die Münder;mouth;;noun
nackt-naked;nackt;;naked;;adjective
passant-passerby;der Passant;die Passanten;the passerby;;noun
plastikdinosaurier;der Plastikdinosaurier;die Plastikdinosaurier;plastic dinosaur;;noun
rappelvoll-jam-packed;rappelvoll;;"jam-packed, crammed";;adjective
rausgehen-to-go-out;rausgehen;ging raus / rausgegangen;to go out;;verb
rufen-to-call;rufen;rief / gerufen;to call, to shout;;verb
sich-beschweren-to-complain;sich beschweren;beschwerte / beschwert;to complain;;verb
spaß-fun;der Spaß;;fun, pleasure;;noun
sterben-to-die;sterben;starb / gestorben;to die;;noun
straße-street;die Straße;die Straßen;the street;;noun
tag-day;der Tag;die Tage;day;;noun
tasse-cup;die Tasse;die Tassen;cup;;noun
tornetz-goal-net;das Tornetz;die Tornetze;goal net;;noun
unbedingt-absolutely;unbedingt;;absolutely, definitely;;adverb
ureinwohner-native-inhabitant;der Ureinwohner;die Ureinwohner;native inhabitant, indigenous person;;noun
verjagen-to-chase-away;verjagen;verjagte / verjagt;to chase away;;verb
verrückt-insane;verrückt;;insane, crazy;;adjective
verstehen-to-understand;verstehen;verstand / verstanden;to understand;;verb
vortrag-lecture;der Vortrag;die Vorträge;lecture, talk;;noun
warum-why;warum;;why;;adverb
welt-world;die Welt;;the world;;noun
wirken-to-work;wirken;wirkte / gewirkt;to work, to have an effect;;verb
wüste;die Wüste;die Wüsten;desert;;noun
zeigen-to-show;zeigen;zeigte / gezeigt;to show;;verb
zimmer-room;das Zimmer;die Zimmer;room;;noun
übertreiben-to-exaggerate;übertreiben;übertrieb / übertrieben;to exaggerate, to overdo;;verb
übrig-lassen-to-leave-behind;übrig lassen;ließ übrig / übrig gelassen;to leave behind;;verb
