key;frontText;frontDetails;backText;backDetails;category
heute-segodnya;heute;;сегодня;;наречие
gut-horshiy;gut;;хороший;;прилагательное
tag-den;der Tag;die Tage;день;;существительное
glücklich-schastliviy;glücklich;;счастливый;;прилагательное
glück-schastye;das Glück;;счастье;;существительное
vor-der-tür-stehen-bit-na-poroge;vor der Tür stehen;;быть на пороге, вот-вот случиться;;выражение
dann-togda;dann;;тогда;;наречие
reinlassen-vpuskat;reinlassen;ließ rein / reingelassen;впускать;;глагол
lieb-dorogoy;lieb;;дорогой, любимый;;прилагательное
schön-horosho;schön;;хорошо, славно;;наречие
kaffee-kofe;der Kaffee;;кофе;;существительное
tee-chay;der Tee;;чай;;существительное
gleich-srazu;gleich;;сразу, тот час;;наречие
wieder-snova;wieder;;снова, опять;;наречие
gehen-uyti;gehen;ging / gegangen;уйти, уходить;;глагол
bleiben-ostavatsya;bleiben;blieb / geblieben;оставаться;;глагол
auch-tozhe;auch;;тоже, также;;наречие
entspannt-spokoyniy;entspannt;;спокойный, расслабленный;;причастие
festhalten-uderzhivat;festhalten;hielt fest / festgehalten;удерживать, держать;;глагол
lassen-pozvolyat;lassen;ließ / gelassen;позволять, разрешать;;глагол
verschaffen-dostavlyat;verschaffen;verschaffte / verschafft;доставлять;;глагол
klar-yasno;klar;;ясно, понятно;;наречие
fragen-sprashivat;fragen;fragte / gefragt;спрашивать;;глагол
deswegen-poetomu;deswegen;;поэтому;;наречие
jemanden-gelegen-kommen-proishodit-vovremya;jemanden gelegen kommen;;случаться вовремя, кстати;;выражение
wird-auch-langsam-zeit-samoe-vremya;wird auch langsam Zeit;;самое время;;выражение
nun-vot;nun;;вот;;наречие
sitzen-sidet;sitzen;saß / gesessen;сидеть;;глагол
schon-uzhe;schon;;уже;;наречие
lange-dolgo;lange;;долго, давно;;наречие
couch-divan;die Couch;die Couch(e)s;диван, кушетка;;существительное
fühlen-sich-chuvstovat-sebya;sich fühlen;fühlte / gefühlt;чувствовать себя;;глагол
sehr-ochen;sehr;;очень;;наречие
wohl-uyutno;wohl;;уютно, хорошо;;наречие
denken-dumat;denken;dachte / gedacht;думать;;глагол
Autsch-oy;Autsch;;ой, ай;;междометие
langsam-potihonku;langsam;;потихоньку;;наречие
das-schlechte-gewissen-ugrizeniya-sovesti;das schlechte Gewissen;;угрызения совести, нечистая совесть;;выражение
andere-drugoy;andere;;другой;;местоимение
jetzt-seychas;jetzt;;сейчас, теперь;;наречие
vermissen-hvatitsya;vermissen;vermisste / vermisst;хватиться;;глагол
sagen-govorit;sagen;sagte / gesagt;говорить, сказать;;глагол
ganz-ochen;ganz;;очень;;наречие
verblüfft-sbitiy-s-tolku;verblüfft;;сбитый с толку, ошеломлённый;;причастие
situation-situaciya;die Situation;die Situationen;ситуация;;существительное
vielleicht-mozhet;vielleicht;;может быть, возможно;;наречие
verwöhnt-izbalovanniy;verwöhnt;;избалованный;;причастие
einsehen-ponimat;einsehen;sah ein / eingesehen;понимать, сознавать;;глагол
jemanden-zuliebe-radi-kogo-to;jemanden zuliebe;;ради кого-то;;выражение
endlich-nakonec;endlich;;наконец;;наречие
