key;frontText;frontDetails;backText;backDetails;category
als-chem;als;;чем;;союз
anders-drugoy;anders;;другой, иной;;прилагательное
beste-luchshee;das Beste;от gut;лучшее;;прилагательное
ganz-ochen;ganz;;очень;;наречие
gleich-odinakoviy;gleich;;одинаковый;;прилагательное
kommen-nastupat;kommen;kam / gekommen;приходить, наступать;;глагол
leise-tiho;leise;;тихо;;наречие
letzte-posledniy;letzte;;последний;;прилагательное
manchmal-inogda;manchmal;;иногда, порой;;наречие
mensch-chelovek;der Mensch;die Menschen;человек;;существительное
nichts-nichego;nichts;;ничего;;местоимение
produktiv-produktivniy;produktiv;;продуктивный;;прилагательное
schaf-ovca;das Schaf;die Schafe;овца;;существительное
schwarz-cherniy;schwarz;;чёрный;;прилагательное
sondern-a;sondern;;а, но;;союз
weiss-beliy;weiß;;белый;;прилагательное
